id,title,duration_sec,narration,prompt,scene_description,subtitle
11,可靠性与维护,20,"由于减少了机械接触件，系统理论上更耐久；同时模块化组件让维护与替换更便捷，减少停机时间。","Maintenance scene: technician replacing a module in a magnetic drive assembly, clean workshop, 16:9","技术人员拆装展示模块化便捷。","模块化 → 降低维护成本"
12,材料与制造,20,"我们选用高导磁材料与耐热绕组，配合标准加工工艺，兼顾性能与可制造性，便于小批量原型与规模化生产。","Factory close-up: manufacturing magnetic cores and winding coils, realistic industrial photography, 16:9","生产线、材料、质量检测镜头切换。","兼顾性能与可制造性"
13,原型与测试流程,20,"OpenVPMD 的开发流程包含 CAD 设计、快速原型、台架测试与数据采集，形成闭环验证与迭代改进。","Engineering test bench with instrument panels, prototype mounted on rig, engineers observing data, 16:9","台架测试实时曲线与工程师讨论。","严格的测试与迭代"
14,关键测试数据一,20,"在初期台架测试中，我们观测��在中高速区段，系统效率比传统方案提升显著，同时扭矩响应保持线性稳定。","Data visualization: efficiency and torque response graphs with highlighted improvement, modern infographic, 16:9","曲线动画与数值标注。","测试：效率与响应提升"
15,关键测试数据二,20,"热管理测试显示，通过优化绕组与散热结构，系统在长时间运行下温升可控，满足常规工业标准。","Thermal imaging overlay on a running prototype, heatmap visualization, technical style, 16:9","热成像交替普通摄影，呈现温度分布。","热管理：温升可控"
16,典型应用场景一,20,"在电动车辆领域，OpenVPMD 可用作变速模块，减少机械传动体积并提升能量回收效率。","Futuristic electric vehicle powertrain with compact magnetic drive module, cinematic, 16:9","EV 驱动系统示意，模块集成于车轴。","电动车：更紧凑，更高效"
17,应用场景二,20,"在机器人与自动化设备中，平顺的扭矩控制与无级变速可以提升定位精度与操作稳定性。","Industrial robot arm equipped with a magnetic drive, performing precise assembly, photorealistic, 16:9","机器人精准操作特写。","机器人：提升控制精度"
18,应用场景三,20,"风力发电或可再生能源领域，同步或变速发电可借助可变极技术提高收能适应性与系统效率。","Wind turbine nacelle cutaway showing integrated variable pole generator module, sunset, 16:9","风机内部示意与能量流动箭头。","可再生能源：提高发电效率"
19,与现有电机的集成,20,"OpenVPMD 支持与标准电机模块集成，通过软件层面的相位控制即可实现切换与耦合，降低改造成本。","Technical render of a motor being connected to a magnetic drive module, cable harness and control unit visible, 16:9","插接示意与控制连线动画。","与电机的无缝集成"
20,控制算法,20,"我们开源的控制库实现了相位优化、极数切换和平滑过渡算法，并提供仿真与实际控制接口，便于二次开发。","Code and algorithm visualization: control flow diagrams and waveform optimization, sleek UI, 16:9","代码片段、仿真界面、控制器示意。","开源控制库与仿真工具"
21,安全与容错,20,"安全机制包含过流保护、温度监测以及应急断电策略；在异常工况下系统会优先保护机械完整性。","Safety system UI with alerts, emergency stop button and protection circuit diagram, clear schematic, 16:9","���警 UI 与断电保护演示。","多重安全保护机制"
22,成本与可扩展性,20,"初期原型成本较高，但量产时可借助模块化与标准化工艺降低单位成本，适合不同功率等级的扩展。","Charts showing cost reduction from prototyping to mass production, assembly line imagery, 16:9","成本曲线与生产流水线画面。","模块化助力量产降本"
23,环境影响,20,"更高的效率与更少的机械损耗意味着更低的资源消耗与寿命周期排放，有助于可持续工程目标。","Eco-friendly concept: reduced waste and energy savings visualized, green color palette, 16:9","绿色图标、生命周期示意。","更环保的传动选择"
24,社区与开源,20,"OpenVPMD 是开源项目，我们欢迎工程师、研究者与爱好者参与设计、测试与文档完善，共同推进技术成熟。","Community collaboration concept: diverse engineers around a table with designs and laptops, collaborative mood, 16:9","社区讨论、Pull Request、Issue 示意。","欢迎加入 OpenVPMD 社区"
25,如何开始,20,"从 GitHub 克隆仓库，查看 README 的构建与台架测试步骤，按说明能快速复现我们的基础原型。","Developer workflow: GitHub repo page, README and build instructions on screen, modern UI screenshot, 16:9","仓库页面、命令行示例、构建步骤展示。","快速上手：克隆仓库并运行"
26,贡献方式,20,"你可以贡献代码、测试数据、硬件设计、文档或翻译，也可提交Issue或发起关于新应用的讨论与协作。","Open source contribution montage: code commits, CAD files, documentation edits, diverse contributors, 16:9","PR、CAD、测试数据上传等画面切换。","贡献：代码、硬件与文档"
27,许可与合规,20,"本项目采用开源许可（请查看仓库 LICENSE），我们鼓励在符合许可的前提下进行工业或学术使用与二次开发。","Open source license iconography with legal documents and a stamp reading 'LICENSE', flat illustration, 16:9","LICENSE 文件，授权说明要点高亮。","查看 LICENSE 了解使用规则"
28,案例演示,20,"在一次示范中，我们将模块安装于小型轴承台架，演示了连续变速与高精度扭矩控制的实时效果。","Demonstration video still: test rig spinning with telemetry overlay, hands-on setup, 16:9","实验演示与实时数据叠加。","台架示范：实时变速展示"
29,未来路线,20,"我们计划优化控制算法、提升能效并探索更多应用场景，同时��进量产可行性研究与合作伙伴招募。","Futuristic roadmap visualization, milestones, collaboration icons and timeline, sleek design, 16:9","路线图与未来里程碑逐步展开。","路线：算法、量产与合作"
30,结尾与召唤,20,"如果你对 OpenVPMD 感兴趣，欢迎访问我们的 GitHub：github.com/zglwildcat-afk/OpenVPMD，贡献你的想法与代码，让我们一起把可变磁极传动带向现实。","Closing cinematic shot: project logo, GitHub URL overlay, warm lighting, fade out, 16:9","项目 Logo 与仓库链接，镜头缓慢淡出并显示贡献、联系我们信息。","访问：github.com/zglwildcat-afk/OpenVPMD 参与贡献"
